,name,cost,competitive rate,code,date
406,대원,"15,000",460.24:1,  007680,  2017.12.01
407,에스트래픽,"10,000",1128.18:1,  234300,  2017.12.05
408,체리부로,"4,700",616.60:1,  066360,  2017.12.04
409,비즈니스온커뮤니케이션,"9,000",1075.91:1,  138580,  2017.11.30
410,삼양패키징,"26,000",2.74:1,  272550,  2017.11.29
411,한화에이스스팩4호,"2,000",0.73:1,  279410,  2017.11.27
412,스튜디오드래곤,"35,000",320.11:1,  253450,  2017.11.24
413,IBKS스팩7호,"2,000",79.91:1,  276920,  2017.11.10
414,비디아이,"10,000",1239.8:1,  148140,  2017.11.09
415,테이팩스,"23,000",2.05:1,  055490,  2017.10.31
416,티슈진,"27,000",299.53:1,  950160,  2017.11.06
417,영화테크,"12,500",1011.76:1,  265560,  2017.10.26
418,세원,"5,700",640.36:1,  234100,  2017.10.20
419,신한스팩4호,"2,000",8.74:1,  277480,  2017.10.20
420,상신전자,"13,300",1002.23:1,  263810,  2017.10.16
421,야스,"23,500",0.52:1,  255440,  2017.09.29
422,IBKS스팩8호,"2,000",29.90:1,  277410,  2017.09.29
423,에스엔피월드,"5,100",661.5:1,  263920,  2017.09.28
424,유티아이,"25,000",3.44:1,  179900,  2017.09.27
425,신흥에스이씨,"16,000",731.42:1,  243840,  2017.09.27
426,선익시스템,"37,000",0.73:1,  171090,  2017.09.20
427,엠플러스,"18,000","1,003.24:1",  259630,  2017.09.20
428,샘코,"11,000",207:1,  263540,  2017.09.15
