,Unnamed: 0,name,cost,competitive rate,code,date
196,196,한화플러스스팩1호,"2,000",9.00:1,340440,  2019.12.27
197,197,브릿지바이오테라퓨틱스,"60,000",33.52:1,288330,  2019.12.20
198,198,엔에이치스팩15호,"2,000",1.43:1,339950,  2019.12.24
199,199,메탈라이프,"13,000",1397.97:1,327260,  2019.12.24
200,200,하이스팩5호,"2,000",0.37:1,340120,  2019.12.23
201,201,메드팩토,"40,000",18.84:1,235980,  2019.12.19
202,202,신테카바이오,"12,000",123.20:1,226330,  2019.12.17
203,203,대신밸런스스팩8호,"2,000",0.67:1,336570,  2019.12.19
204,204,유안타스팩6호,"2,000",0.37:1,340360,  2019.12.19
205,205,제이엘케이인스펙션,"9,000",8.49:1,322510,  2019.12.11
206,206,IBKS스팩12호,"2,000",76.16:1,335870,  2019.12.09
207,207,태웅로직스,"4,500",618.52:1,124560,  2019.12.10
208,208,에스케이스팩5호,"2,000",0.37:1,337450,  2019.12.05
209,209,리메드,"13,000",92.69:1,302550,  2019.12.06
210,210,코리아센터,"18,000",4.13:1,290510,  2019.11.29
211,211,IBKS스팩11호,"2,000",6.97:1,335890,  2019.12.03
212,212,유안타스팩5호,"2,000",0.2:1,336060,  2019.11.28
213,213,엔에이치프라임리츠,"5,000",317.62:1,338100,  2019.12.05
214,214,노터스,"20,000",22.31:1,278650,  2019.11.27
215,215,센트랄모텍,"6,000",580.5:1,308170,  2019.11.25
216,216,티움바이오,"12,000",5.30:1,321550,  2019.11.22
217,217,코리아에셋투자증권,"10,000",231.78,190650,  2019.11.20
218,218,씨에스베어링,"8,400",699.67:1,297090,  2019.11.21
219,219,우양,"4,200",1037.31,103840,  2019.11.20
220,220,에스제이그룹,"38,600",512.93:1,306040,  2019.11.18
221,221,현대에너지솔루션,"18,000",126.68:1,322000,  2019.11.19
222,222,제테마,"21,000",590.02:1,216080,  2019.11.14
223,223,한화시스템,"12,250",16.84:1,272210,  2019.11.13
224,224,라파스,"20,000",813.16:1,214260,  2019.11.11
225,225,아이티엠반도체,"26,000",321.09:1,84850,  2019.11.07
226,226,자이에스앤디,"5,200",665.41:1,317400,  2019.11.06
227,227,미래에셋대우스팩4호,"2,000",30.10:1,333430,  2019.11.06
228,228,하나금융스팩14호,"2,000",80.74:1,332710,  2019.11.01
229,229,티라유텍,"12,050",1164.16:1,322180,  2019.10.31
230,230,미디어젠,"10,600",573.16:1,279600,  2019.11.05
231,231,신한스팩6호,"2,000",83.89:1,333050,  2019.10.31
232,232,캐리소프트,"9,000",1067.00:1,317530,  2019.10.29
233,233,지누스,"70,000",0.63:1,13890,  2019.10.30
234,234,케이엔제이,"11,000",1104.68:1,272110,  2019.10.25
235,235,교보스팩9호,"2,000",134.98:1,331520,  2019.10.29
236,236,엔바이오니아,"8,200",910.32:1,317870,  2019.10.24
237,237,팜스빌,"14,000",674.04:1,318010,  2019.10.22
238,238,라온피플,"14,000",2.07:1,300120,  2019.10.18
239,239,롯데리츠,"5,000",63.28:1,330590,  2019.10.30
240,240,아톤,"43,000",653.96:1,158430,  2019.10.17
241,241,녹십자웰빙,"11,300",657.66:1,234690,  2019.10.14
242,242,대신밸런스스팩7호,"2,000",39.52:1,332290,  2019.10.11
243,243,유진스팩5호,"2,000",268.73:1,331380,  2019.10.02
244,244,케이비스팩19호,"2,000",177.51:1,330990,  2019.09.30
